algorithm,variant,density,n,m_undirected,repeat,seconds
kruskal,naive,sparse,1200,5999,1,0.027505300007760525
prim,heap,sparse,1200,5999,1,0.004753399989567697
prim,matrix,sparse,1200,5999,1,0.17192819999763742
prim,matrix,sparse,1200,5999,2,0.17182879999745637
prim,heap,sparse,1200,5999,2,0.0071832999819889665
kruskal,naive,sparse,1200,5999,2,0.024254799995105714
kruskal,dsu,sparse,1200,5999,2,0.0018938000430352986
prim,matrix,dense,1200,432288,0,0.16587229998549446
prim,heap,dense,1200,432288,0,0.38518380001187325
kruskal,naive,dense,1200,432288,0,0.09645229997113347
kruskal,dsu,dense,1200,432288,0,0.07082060002721846
kruskal,dsu,dense,1200,432288,1,0.0771686999942176
kruskal,naive,dense,1200,432288,1,0.08022870001150295
prim,heap,dense,1200,432288,1,0.344618100032676
prim,matrix,dense,1200,432288,1,0.1911112999659963
prim,matrix,dense,1200,432288,2,0.1686442000209354
prim,heap,dense,1200,432288,2,0.3504939000122249
kruskal,naive,dense,1200,432288,2,0.10062400001334026
kruskal,dsu,dense,1200,432288,2,0.08920789998956025
prim,matrix,sparse,1600,7999,0,0.30526409996673465
prim,heap,sparse,1600,7999,0,0.011585599975660443
kruskal,naive,sparse,1600,7999,0,0.0631699999794364
kruskal,dsu,sparse,1600,7999,0,0.004079199978150427
kruskal,dsu,sparse,1600,7999,1,0.0031244000419974327
kruskal,naive,sparse,1600,7999,1,0.06165109999710694
prim,heap,sparse,1600,7999,1,0.007276999996975064
prim,matrix,sparse,1600,7999,1,0.3143112000543624
prim,matrix,sparse,1600,7999,2,0.3014244000078179
prim,heap,sparse,1600,7999,2,0.007912200002465397
kruskal,naive,sparse,1600,7999,2,0.06834050000179559
kruskal,dsu,sparse,1600,7999,2,0.0029478000360541046
prim,matrix,dense,1600,767197,0,0.3312481999746524
prim,heap,dense,1600,767197,0,0.7654056000174023
kruskal,naive,dense,1600,767197,0,0.1565265999524854
kruskal,dsu,dense,1600,767197,0,0.14709250000305474
kruskal,dsu,dense,1600,767197,1,0.1450788999791257
kruskal,naive,dense,1600,767197,1,0.147661299968604
prim,heap,dense,1600,767197,1,0.7216413000132889
prim,matrix,dense,1600,767197,1,0.29012119997059926
prim,matrix,dense,1600,767197,2,0.31322119996184483
prim,heap,dense,1600,767197,2,0.7340216000447981
kruskal,naive,dense,1600,767197,2,0.15863550000358373
kruskal,dsu,dense,1600,767197,2,0.16054220002843067
prim,matrix,sparse,2000,9999,0,0.5228860999923199
prim,heap,sparse,2000,9999,0,0.009309399989433587
kruskal,naive,sparse,2000,9999,0,0.058701599948108196
kruskal,dsu,sparse,2000,9999,0,0.0030521000153385103
kruskal,dsu,sparse,2000,9999,1,0.0030255999881774187
kruskal,naive,sparse,2000,9999,1,0.05947030003881082
prim,heap,sparse,2000,9999,1,0.009933400026056916
prim,matrix,sparse,2000,9999,1,0.5073441999848001
prim,matrix,sparse,2000,9999,2,0.5314641000004485
prim,heap,sparse,2000,9999,2,0.009525999950710684
kruskal,naive,sparse,2000,9999,2,0.0544573999941349
kruskal,dsu,sparse,2000,9999,2,0.00613240001257509
prim,matrix,dense,2000,1199595,0,0.4310154999839142
prim,heap,dense,2000,1199595,0,1.1903410999802873
kruskal,naive,dense,2000,1199595,0,0.25526010000612587
kruskal,dsu,dense,2000,1199595,0,0.21682619996136054
kruskal,dsu,dense,2000,1199595,1,0.215218500001356
kruskal,naive,dense,2000,1199595,1,0.23845190001884475
prim,heap,dense,2000,1199595,1,1.3632422999944538
prim,matrix,dense,2000,1199595,1,0.6620342999813147
prim,matrix,dense,2000,1199595,2,0.8730380999622867
prim,heap,dense,2000,1199595,2,2.1683195999939926
kruskal,naive,dense,2000,1199595,2,0.42413860000669956
kruskal,dsu,dense,2000,1199595,2,0.40128539997385815
prim,matrix,sparse,5000,24999,0,6.867834700038657
prim,heap,sparse,5000,24999,0,0.07539740001084283
kruskal,naive,sparse,5000,24999,0,0.854725299985148
kruskal,dsu,sparse,5000,24999,0,0.02130120003130287
kruskal,dsu,sparse,5000,24999,1,0.020667999982833862
kruskal,naive,sparse,5000,24999,1,0.8484598000068218
prim,heap,sparse,5000,24999,1,0.07800400000996888
prim,matrix,sparse,5000,24999,1,4.7095486000180244
prim,matrix,sparse,5000,24999,2,3.153967499965802
prim,heap,sparse,5000,24999,2,0.0407930999645032
kruskal,naive,sparse,5000,24999,2,0.4949401000048965
kruskal,dsu,sparse,5000,24999,2,0.01522940001450479
prim,matrix,dense,5000,7499096,0,3.0239450000226498
prim,heap,dense,5000,7499096,0,13.511942799959797
kruskal,naive,dense,5000,7499096,0,2.3118961000000127
kruskal,dsu,dense,5000,7499096,0,2.2672583000385202
kruskal,dsu,dense,5000,7499096,1,2.3056895000045188
kruskal,naive,dense,5000,7499096,1,2.182723400008399
prim,heap,dense,5000,7499096,1,15.81047889997717
prim,matrix,dense,5000,7499096,1,2.816772599995602
prim,matrix,dense,5000,7499096,2,2.8627041000290774
prim,heap,dense,5000,7499096,2,11.937429300043732
kruskal,naive,dense,5000,7499096,2,1.4323668999713846
kruskal,dsu,dense,5000,7499096,2,1.3981473000021651
