algorithm,variant,density,n,m_undirected,seconds_median,seconds_mean,samples
kruskal,dsu,dense,100,3083,0.0003816999960690737,0.0004395333429177602,3
kruskal,dsu,dense,200,12039,0.002444799989461899,0.002133266670474162,3
kruskal,dsu,dense,400,48065,0.007042300014290959,0.006770566649114092,3
kruskal,dsu,dense,800,192356,0.031551399966701865,0.033517133308729775,3
kruskal,dsu,dense,1200,432288,0.0771686999942176,0.07906573333699878,3
kruskal,dsu,dense,1600,767197,0.14709250000305474,0.15090453333687037,3
kruskal,dsu,dense,2000,1199595,0.21682619996136054,0.27777669997885823,3
kruskal,dsu,dense,5000,7499096,2.2672583000385202,1.9903650333484013,3
kruskal,naive,dense,100,3083,0.00046660000225529075,0.00046779999199012917,3
kruskal,naive,dense,200,12039,0.0024074999964796007,0.0021764333359897137,3
kruskal,naive,dense,400,48065,0.006989699963014573,0.007677300018258393,3
kruskal,naive,dense,800,192356,0.04535170004237443,0.0412285000202246,3
kruskal,naive,dense,1200,432288,0.09645229997113347,0.0924349999986589,3
kruskal,naive,dense,1600,767197,0.1565265999524854,0.15427446664155772,3
kruskal,naive,dense,2000,1199595,0.25526010000612587,0.3059502000105567,3
kruskal,naive,dense,5000,7499096,2.182723400008399,1.9756621333265987,3
kruskal,dsu,sparse,100,499,0.000159099989105016,0.00015529997957249483,3
kruskal,dsu,sparse,200,999,0.00029550003819167614,0.0003279000132655104,3
kruskal,dsu,sparse,400,1999,0.0014741999912075698,0.0012679666785212855,3
kruskal,dsu,sparse,800,3999,0.0017915000207722187,0.0018503666894199948,3
kruskal,dsu,sparse,1200,5999,0.0018701999797485769,0.0018634000055802364,3
kruskal,dsu,sparse,1600,7999,0.0031244000419974327,0.003383800018733988,3
kruskal,dsu,sparse,2000,9999,0.0030521000153385103,0.004070033338697006,3
kruskal,dsu,sparse,5000,24999,0.020667999982833862,0.019066200009547174,3
kruskal,naive,sparse,100,499,0.00025350000942125916,0.0002682666721132894,3
kruskal,naive,sparse,200,999,0.0005893000052310526,0.0006697666637289027,3
kruskal,naive,sparse,400,1999,0.0025816999841481447,0.002582533323826889,3
kruskal,naive,sparse,800,3999,0.010301399976015091,0.010222333328177532,3
kruskal,naive,sparse,1200,5999,0.027505300007760525,0.026707333337981254,3
kruskal,naive,sparse,1600,7999,0.0631699999794364,0.06438719999277964,3
kruskal,naive,sparse,2000,9999,0.058701599948108196,0.05754309999368464,3
kruskal,naive,sparse,5000,24999,0.8484598000068218,0.7327083999989554,3
prim,heap,dense,100,3083,0.0006429000059142709,0.0008342666745496293,3
prim,heap,dense,200,12039,0.003041899995878339,0.003074666679215928,3
prim,heap,dense,400,48065,0.018170700001064688,0.020266233341923606,3
prim,heap,dense,800,192356,0.14087379997363314,0.13580389997999495,3
prim,heap,dense,1200,432288,0.3504939000122249,0.36009860001892474,3
prim,heap,dense,1600,767197,0.7340216000447981,0.7403561666918298,3
prim,heap,dense,2000,1199595,1.3632422999944538,1.5739676666562445,3
prim,heap,dense,5000,7499096,13.511942799959797,13.753283666660232,3
prim,matrix,dense,100,3083,0.0011760000488720834,0.0011946333300632734,3
prim,matrix,dense,200,12039,0.004024099966045469,0.00456243334338069,3
prim,matrix,dense,400,48065,0.017335499986074865,0.01756500000677382,3
prim,matrix,dense,800,192356,0.08177959994645789,0.07910923331898327,3
prim,matrix,dense,1200,432288,0.1686442000209354,0.17520926665747538,3
prim,matrix,dense,1600,767197,0.31322119996184483,0.31153019996903214,3
prim,matrix,dense,2000,1199595,0.6620342999813147,0.6553626333091719,3
prim,matrix,dense,5000,7499096,2.8627041000290774,2.901140566682443,3
prim,heap,sparse,100,499,0.00048019998939707875,0.0003970333297426502,3
prim,heap,sparse,200,999,0.0004868999822065234,0.0006177666558263203,3
prim,heap,sparse,400,1999,0.0026366999954916537,0.0023523333366028965,3
prim,heap,sparse,800,3999,0.003463700006250292,0.0033119999958823123,3
prim,heap,sparse,1200,5999,0.004981500038411468,0.00563940000332271,3
prim,heap,sparse,1600,7999,0.007912200002465397,0.008924933325033635,3
prim,heap,sparse,2000,9999,0.009525999950710684,0.00958959998873373,3
prim,heap,sparse,5000,24999,0.07539740001084283,0.06473149999510497,3
prim,matrix,sparse,100,499,0.0020691999816335738,0.0017755000153556466,3
prim,matrix,sparse,200,999,0.004364399996120483,0.0049147333290117485,3
prim,matrix,sparse,400,1999,0.020162299973890185,0.020022333327991266,3
prim,matrix,sparse,800,3999,0.08111000002827495,0.07968653332985316,3
prim,matrix,sparse,1200,5999,0.17192819999763742,0.1806309666717425,3
prim,matrix,sparse,1600,7999,0.30526409996673465,0.30699990000963834,3
prim,matrix,sparse,2000,9999,0.5228860999923199,0.5205647999925228,3
prim,matrix,sparse,5000,24999,4.7095486000180244,4.910450266674161,3
