n,dijkstra:array,dijkstra:heap,floyd:python,floyd:numpy
20,4.3599982745945454e-05,3.650000144261867e-05,0.0028111999854445457,0.0002727000101003796
30,6.775000656489283e-05,6.304998532868922e-05,0.005851699999766424,0.0003252000024076551
40,0.00012180001067463309,7.490000280085951e-05,0.013142499985406175,0.0002880000101868063
50,0.00016185001004487276,0.00011350000568199903,0.030086199985817075,0.00045769999269396067
80,0.0004922499938402325,0.00034255000355187804,0.10565219999989495,0.0009805999870877713
120,0.0008640000014565885,0.0004972000024281442,0.3476476000214461,0.0021135999995749444
200,0.0026943499979097396,0.0017453500040574,1.775052599987248,0.014463200001046062
300,0.005586799990851432,0.004972449998604134,10.603510099987034,0.2124783000035677
400,0.03130595000402536,0.02312859999074135,28.587992200016743,0.6425043999915943
600,0.07940184998733457,0.05172889999812469,107.1432507999998,2.0625427999766544
800,0.13096689998928923,0.10248089999367949,240.10918190001394,3.66518690000521
