n,python,numpy
20,0.0028111999854445457,0.0002727000101003796
30,0.005851699999766424,0.0003252000024076551
40,0.013142499985406175,0.0002880000101868063
50,0.030086199985817075,0.00045769999269396067
80,0.10565219999989495,0.0009805999870877713
120,0.3476476000214461,0.0021135999995749444
200,1.775052599987248,0.014463200001046062
300,10.603510099987034,0.2124783000035677
400,28.587992200016743,0.6425043999915943
600,107.1432507999998,2.0625427999766544
800,240.10918190001394,3.66518690000521
