n,python,numpy
20,0.0028390000225044787,0.00033239999902434647
30,0.005035199981648475,0.00023939998936839402
40,0.012773400027072057,0.0006492999964393675
50,0.025789200008148327,0.0004165999998804182
80,0.0928245999966748,0.001410199998645112
120,0.30946790002053604,0.0023335000150837004
200,1.3563207999977749,0.007389800011878833
300,7.937445599993225,0.27046999998856336
400,24.348070000007283,0.6318937999894843
600,80.78048989997478,2.1608208999969065
800,203.73971449999954,3.5309791999752633
