algorithm,variant,density,n,m_undirected,source,repeat,seconds
floyd,numpy,dense,40,489,,2,0.0002880000101868063
floyd,python,dense,40,489,,2,0.012817900016671047
dijkstra,heap,sparse,50,249,35,0,5.520001286640763e-05
dijkstra,array,sparse,50,249,35,0,9.699998190626502e-05
dijkstra,array,sparse,50,249,35,1,8.969998452812433e-05
dijkstra,heap,sparse,50,249,35,1,4.439998883754015e-05
dijkstra,heap,sparse,50,249,35,2,9.569997200742364e-05
dijkstra,array,sparse,50,249,35,2,0.00017370001296512783
dijkstra,heap,sparse,50,249,26,0,9.019998833537102e-05
dijkstra,array,sparse,50,249,26,0,0.00011419999646022916
dijkstra,array,sparse,50,249,26,1,0.00010450000991113484
dijkstra,heap,sparse,50,249,26,1,5.120001151226461e-05
dijkstra,heap,sparse,50,249,26,2,5.140001303516328e-05
dijkstra,array,sparse,50,249,26,2,0.00015170002006925642
dijkstra,heap,dense,50,759,10,0,0.00019610000890679657
dijkstra,array,dense,50,759,10,0,0.00018159998580813408
dijkstra,array,dense,50,759,10,1,0.00016379999578930438
dijkstra,heap,dense,50,759,10,1,8.909997995942831e-05
dijkstra,heap,dense,50,759,10,2,0.00011180000728927553
dijkstra,array,dense,50,759,10,2,0.0001613000058569014
dijkstra,heap,dense,50,759,49,0,0.00011520000407472253
dijkstra,array,dense,50,759,49,0,0.00014109999756328762
dijkstra,array,dense,50,759,49,1,0.00015259999781847
dijkstra,heap,dense,50,759,49,1,0.00013559998478740454
dijkstra,heap,dense,50,759,49,2,8.210001396946609e-05
dijkstra,array,dense,50,759,49,2,0.00016240001423284411
floyd,numpy,sparse,50,249,,0,0.0005996999971102923
floyd,python,sparse,50,249,,0,0.02589550000266172
floyd,python,sparse,50,249,,1,0.025789200008148327
floyd,numpy,sparse,50,249,,1,0.00039640002069063485
floyd,numpy,sparse,50,249,,2,0.0004165999998804182
floyd,python,sparse,50,249,,2,0.02475480001885444
floyd,numpy,dense,50,755,,0,0.0015008999907877296
floyd,python,dense,50,755,,0,0.026946500001940876
floyd,python,dense,50,755,,1,0.030086199985817075
floyd,numpy,dense,50,755,,1,0.00045769999269396067
floyd,numpy,dense,50,755,,2,0.00035600000410340726
floyd,python,dense,50,755,,2,0.0319385000038892
dijkstra,heap,sparse,80,399,19,0,0.00010629999451339245
dijkstra,array,sparse,80,399,19,0,0.0002261999761685729
dijkstra,array,sparse,80,399,19,1,0.00034779999987222254
dijkstra,heap,sparse,80,399,19,1,0.0001551999885123223
dijkstra,heap,sparse,80,399,19,2,0.00013379997108131647
dijkstra,array,sparse,80,399,19,2,0.00032969997846521437
dijkstra,heap,sparse,80,399,6,0,0.0001933000166900456
dijkstra,array,sparse,80,399,6,0,0.00029670001822523773
dijkstra,array,sparse,80,399,6,1,0.00023720000172033906
dijkstra,heap,sparse,80,399,6,1,0.00010989999282173812
dijkstra,heap,sparse,80,399,6,2,0.00011799999629147351
dijkstra,array,sparse,80,399,6,2,0.0002489000034984201
dijkstra,heap,dense,80,1932,66,0,0.00037960000918246806
dijkstra,array,dense,80,1932,66,0,0.0004582999972626567
dijkstra,array,dense,80,1932,66,1,0.0005261999904178083
dijkstra,heap,dense,80,1932,66,1,0.0003276999923400581
dijkstra,heap,dense,80,1932,66,2,0.000367600005120039
dijkstra,array,dense,80,1932,66,2,0.000444200006313622
dijkstra,heap,dense,80,1932,21,0,0.00022250000620260835
dijkstra,array,dense,80,1932,21,0,0.0005583000020124018
dijkstra,array,dense,80,1932,21,1,0.00038059998769313097
dijkstra,heap,dense,80,1932,21,1,0.00035710001247934997
dijkstra,heap,dense,80,1932,21,2,0.0003279999946244061
dijkstra,array,dense,80,1932,21,2,0.0006067000213079154
floyd,numpy,sparse,80,399,,0,0.0010765000188257545
floyd,python,sparse,80,399,,0,0.0928245999966748
floyd,python,sparse,80,399,,1,0.09126799998921342
floyd,numpy,sparse,80,399,,1,0.002027099981205538
floyd,numpy,sparse,80,399,,2,0.001410199998645112
floyd,python,sparse,80,399,,2,0.09571399999549612
floyd,numpy,dense,80,1933,,0,0.0009805999870877713
floyd,python,dense,80,1933,,0,0.10368930001277477
floyd,python,dense,80,1933,,1,0.10646209999686107
floyd,numpy,dense,80,1933,,1,0.000907599984202534
floyd,numpy,dense,80,1933,,2,0.0012598000175785273
floyd,python,dense,80,1933,,2,0.10565219999989495
dijkstra,heap,sparse,120,599,21,0,0.00013440000475384295
dijkstra,array,sparse,120,599,21,0,0.0005632000102195889
dijkstra,array,sparse,120,599,21,1,0.00043169999844394624
dijkstra,heap,sparse,120,599,21,1,0.00010710000060498714
dijkstra,heap,sparse,120,599,21,2,0.00015609999536536634
dijkstra,array,sparse,120,599,21,2,0.0004374999844003469
dijkstra,heap,sparse,120,599,44,0,0.00010390000534243882
dijkstra,array,sparse,120,599,44,0,0.00042910000775009394
dijkstra,array,sparse,120,599,44,1,0.00043360001291148365
dijkstra,heap,sparse,120,599,44,1,0.00010459998156875372
dijkstra,heap,sparse,120,599,44,2,0.00011860000086016953
dijkstra,array,sparse,120,599,44,2,0.00043280000681988895
dijkstra,heap,dense,120,4345,109,0,0.00038740001036785543
dijkstra,array,dense,120,4345,109,0,0.0008890999888535589
dijkstra,array,dense,120,4345,109,1,0.000666900014039129
dijkstra,heap,dense,120,4345,109,1,0.0008673999982420355
dijkstra,heap,dense,120,4345,109,2,0.0005175000114832073
dijkstra,array,dense,120,4345,109,2,0.0006793999928049743
dijkstra,heap,dense,120,4345,17,0,0.0003958000161219388
dijkstra,array,dense,120,4345,17,0,0.002493400010280311
dijkstra,array,dense,120,4345,17,1,0.0008389000140596181
dijkstra,heap,dense,120,4345,17,1,0.0004768999933730811
dijkstra,heap,dense,120,4345,17,2,0.0009427999902982265
dijkstra,array,dense,120,4345,17,2,0.002108899992890656
floyd,numpy,sparse,120,599,,0,0.0023335000150837004
floyd,python,sparse,120,599,,0,0.29614109999965876
floyd,python,sparse,120,599,,1,0.30946790002053604
floyd,numpy,sparse,120,599,,1,0.002162099990528077
floyd,numpy,sparse,120,599,,2,0.005572499998379499
floyd,python,sparse,120,599,,2,0.31553920000442304
floyd,numpy,dense,120,4293,,0,0.002045500004896894
floyd,python,dense,120,4293,,0,0.3484490000118967
floyd,python,dense,120,4293,,1,0.314015499985544
floyd,numpy,dense,120,4293,,1,0.0054466000001411885
floyd,numpy,dense,120,4293,,2,0.0021135999995749444
floyd,python,dense,120,4293,,2,0.3476476000214461
dijkstra,heap,sparse,200,999,199,0,0.0006544000061694533
dijkstra,array,sparse,200,999,199,0,0.0031067999952938408
dijkstra,array,sparse,200,999,199,1,0.0016715999809093773
