n,prim:matrix,prim:heap,kruskal:naive,kruskal:dsu
100,0.0020691999816335738,0.00048019998939707875,0.00025350000942125916,0.000159099989105016
200,0.004364399996120483,0.0004868999822065234,0.0005893000052310526,0.00029550003819167614
400,0.020162299973890185,0.0026366999954916537,0.0025816999841481447,0.0014741999912075698
800,0.08111000002827495,0.003463700006250292,0.010301399976015091,0.0017915000207722187
1200,0.17192819999763742,0.004981500038411468,0.027505300007760525,0.0018701999797485769
1600,0.30526409996673465,0.007912200002465397,0.0631699999794364,0.0031244000419974327
2000,0.5228860999923199,0.009525999950710684,0.058701599948108196,0.0030521000153385103
5000,4.7095486000180244,0.07539740001084283,0.8484598000068218,0.020667999982833862
