n,matrix,heap
100,0.0020691999816335738,0.00048019998939707875
200,0.004364399996120483,0.0004868999822065234
400,0.020162299973890185,0.0026366999954916537
800,0.08111000002827495,0.003463700006250292
1200,0.17192819999763742,0.004981500038411468
1600,0.30526409996673465,0.007912200002465397
2000,0.5228860999923199,0.009525999950710684
5000,4.7095486000180244,0.07539740001084283
