n,naive,dsu
100,0.00046660000225529075,0.0003816999960690737
200,0.0024074999964796007,0.002444799989461899
400,0.006989699963014573,0.007042300014290959
800,0.04535170004237443,0.031551399966701865
1200,0.09645229997113347,0.0771686999942176
1600,0.1565265999524854,0.14709250000305474
2000,0.25526010000612587,0.21682619996136054
5000,2.182723400008399,2.2672583000385202
