n,matrix,heap
100,0.0011760000488720834,0.0006429000059142709
200,0.004024099966045469,0.003041899995878339
400,0.017335499986074865,0.018170700001064688
800,0.08177959994645789,0.14087379997363314
1200,0.1686442000209354,0.3504939000122249
1600,0.31322119996184483,0.7340216000447981
2000,0.6620342999813147,1.3632422999944538
5000,2.8627041000290774,13.511942799959797
