n,prim:matrix,prim:heap,kruskal:naive,kruskal:dsu
100,0.0011760000488720834,0.0006429000059142709,0.00046660000225529075,0.0003816999960690737
200,0.004024099966045469,0.003041899995878339,0.0024074999964796007,0.002444799989461899
400,0.017335499986074865,0.018170700001064688,0.006989699963014573,0.007042300014290959
800,0.08177959994645789,0.14087379997363314,0.04535170004237443,0.031551399966701865
1200,0.1686442000209354,0.3504939000122249,0.09645229997113347,0.0771686999942176
1600,0.31322119996184483,0.7340216000447981,0.1565265999524854,0.14709250000305474
2000,0.6620342999813147,1.3632422999944538,0.25526010000612587,0.21682619996136054
5000,2.8627041000290774,13.511942799959797,2.182723400008399,2.2672583000385202
