n,naive,dsu
100,0.00025350000942125916,0.000159099989105016
200,0.0005893000052310526,0.00029550003819167614
400,0.0025816999841481447,0.0014741999912075698
800,0.010301399976015091,0.0017915000207722187
1200,0.027505300007760525,0.0018701999797485769
1600,0.0631699999794364,0.0031244000419974327
2000,0.058701599948108196,0.0030521000153385103
5000,0.8484598000068218,0.020667999982833862
